,t,distance,speed,kinetic energy,momentum
207,8.32,11.636707080571302,28.60604270186925,519.591872,28.60604270186925
208,8.36,11.429740626025804,29.035629219459043,510.4495359999999,29.035629219459043
209,8.4,11.143064053669882,29.73031673323412,566.48048,29.73031673323412
210,8.44,11.160765859976609,36.37023381399681,790.2906879999999,36.37023381399681
211,8.48,11.710957114824796,29.7524579654734,565.9652800000001,29.7524579654734
212,8.52,11.00654657976758,30.30795129749165,580.503776,30.30795129749165
213,8.56,11.229171209893025,29.042720665498795,543.38256,29.042720665498795
214,8.6,11.064806431345026,24.82933397906728,443.0910400000001,24.82933397906728
215,8.64,11.302720386918677,30.891775200119046,624.0920000000001,30.891775200119046
216,8.68,11.237090107277911,32.4346123438776,625.76608,32.4346123438776
217,8.72,11.236563401694712,32.385851873774165,663.1486080000001,32.385851873774165
218,8.76,11.463625950754924,28.28355316431994,560.04,28.28355316431994
219,8.8,10.525806478277314,35.04839394082083,729.7224000000001,35.04839394082083
220,8.84,10.916037472518347,30.666999842835395,650.23888,30.666999842835395
221,8.88,10.884453078341354,36.00430785697865,747.2296000000002,36.00430785697865
222,8.92,11.101319750389433,36.510950190911856,770.019328,36.510950190911856
223,8.96,11.239358896315721,34.22385608636199,700.7694720000001,34.22385608636199
224,9.0,10.793527545474037,33.86558336567067,745.435168,33.86558336567067
225,9.04,10.484660267930035,30.230467061469785,575.0940159999999,30.230467061469785
226,9.08,11.553773948273822,30.85617457559884,648.369056,30.85617457559884
227,9.12,11.558323612449216,34.617088869780794,711.984768,34.617088869780794
228,9.16,11.423980718706355,33.550164158944604,684.2971519999999,33.550164158944604
229,9.2,11.472290380797942,23.102633432380088,367.63632000000007,23.102633432380088
230,9.24,11.626780703155985,27.51034252908962,593.3535999999999,27.51034252908962
231,9.28,12.271568717009291,30.59908889915739,655.157152,30.59908889915739
232,9.32,11.743249030851002,28.992033498724613,548.52736,28.992033498724613
233,9.36,11.551049496471673,32.59405525857889,670.688928,32.59405525857889
234,9.4,11.550853007483123,31.9781045478229,657.54224,31.9781045478229
235,9.44,10.844500742386622,34.624972722060946,723.199648,34.624972722060946
236,9.48,11.27860016317115,35.66469090263874,781.5976,35.66469090263874
237,9.52,11.385914988053855,32.875836095937935,672.6246399999999,32.875836095937935
238,9.56,11.859449000909558,32.8368564819684,679.900768,32.8368564819684
239,9.6,11.6538897080311,32.989737190930306,656.7533440000001,32.989737190930306
240,9.64,11.522176541569998,37.70926193236851,852.3022720000001,37.70926193236851
241,9.68,12.014418785157838,32.50534371715163,701.6236480000001,32.50534371715163
242,9.72,11.113595219690687,29.613045161709287,555.4367040000001,29.613045161709287
243,9.76,12.241918399333128,30.852466908089024,641.3259840000001,30.852466908089024
244,9.8,11.92074847381927,36.42869371697374,806.1288639999999,36.42869371697374
245,9.84,11.578942853184834,38.68435361408878,901.388672,38.68435361408878
246,9.88,12.402751477126168,31.762163992116506,663.4595519999999,31.762163992116506
247,9.92,12.013438290189601,35.40124187552832,801.5848639999999,35.40124187552832
248,9.96,12.34867899288613,32.33754433386547,670.524288,32.33754433386547
249,10.0,11.794043357273,35.37229471128288,809.741024,35.37229471128288
250,10.04,12.39686035281526,34.508992950443684,691.5160000000001,34.508992950443684
251,10.08,12.205651611802743,39.228513265949324,879.8681599999999,39.228513265949324
252,10.12,12.298746266642526,32.49335575559513,713.896256,32.49335575559513
253,10.16,12.702982770041894,26.3439699907682,481.81696000000005,26.3439699907682
254,10.2,11.95606471319119,32.067958820172414,660.335744,32.067958820172414
255,10.24,11.94365958360546,37.485833939782395,865.442944,37.485833939782395
256,10.28,12.451912523372163,31.745272549656057,678.852896,31.745272549656057
257,10.32,12.065577689575278,36.90372289577701,834.879008,36.90372289577701
258,10.36,12.430905926823883,31.51171777795108,650.3213119999999,31.51171777795108
259,10.4,12.217441852410854,34.00502266611715,759.40928,34.00502266611715
260,10.44,11.991228123203442,30.17110838292618,630.563008,30.17110838292618
261,10.48,12.02273529970636,33.92189941579111,752.783008,33.92189941579111
262,10.52,11.198833190756668,22.92650376720519,445.349856,22.92650376720519
263,10.56,11.20885936961198,35.93353050631154,820.145888,35.93353050631154
264,10.6,11.399784924123992,36.322672648272324,803.9442240000001,36.322672648272324
265,10.64,11.496359313846234,33.403838742080396,693.8477439999999,33.403838742080396
266,10.68,11.484992016860643,37.69217295731622,836.331136,37.69217295731622
267,10.72,11.214396105579421,42.366038605480064,1033.906176,42.366038605480064
268,10.76,11.621677864381272,35.78984634841195,805.7523519999999,35.78984634841195
269,10.8,11.378782283636742,36.04226403770707,796.2588799999999,36.04226403770707
270,10.84,11.310862992507488,35.134180911221286,758.616928,35.134180911221286
271,10.88,11.503532604255593,41.060213663052124,965.581216,41.060213663052124
272,10.92,11.261228538090688,33.12518004756291,722.083552,33.12518004756291
273,10.96,11.366165019216183,39.63370786806442,944.599424,39.63370786806442
274,11.0,11.321607676353882,33.9267880282707,707.8951359999999,33.9267880282707
275,11.04,11.292495159421515,31.237644979334647,586.742336,31.237644979334647
276,11.08,11.81468898519957,30.915151506803227,628.511968,30.915151506803227
277,11.12,12.10075826505085,34.838796569500985,780.21408,34.838796569500985
278,11.16,11.558106959454694,38.01518312688361,942.353792,38.01518312688361
279,11.2,11.711516737394977,32.388935336670826,657.6281280000002,32.388935336670826
280,11.24,11.748315852292054,31.988485736824703,663.9437439999998,31.988485736824703
281,11.28,11.778564821477303,34.36679017578163,750.476256,34.36679017578163
282,11.32,11.625231088507219,30.510695741421685,580.3380159999999,30.510695741421685
